Date,Network,Profile,Audience,Net Audience Growth,Audience Gained,Sent Messages (Total),Published Posts (Total),Received Messages (Total),Impressions,Video Views,Engagements,Engagement Rate (per Impression),Reactions,Comments,Shares,Post Link Clicks,Saves,Other Post Clicks,Other Engagements,Sent Tweets (Twitter),Sent Quote Tweets (Twitter),Sent @Replies (Twitter),Sent Direct Messages (Twitter),Sent Posts (Facebook),Sent Ad Posts (Facebook),Sent Comments (Facebook),Sent Ad Comments (Facebook),Sent Private Messages (Facebook),Sent Posts (Instagram),Sent Stories (Instagram),Sent Reels (Instagram),Sent Comments (Instagram),Sent Ad Comments (Instagram),Sent Posts (LinkedIn),Sent Comments (LinkedIn),Sent Videos (TikTok),Sent Comments (TikTok),Sent Pins (Pinterest),Sent Saves (Pinterest),Sent Videos (YouTube),Received Mentions (Twitter),Received Direct Messages (Twitter),Received Retweets (Twitter),Received Quote Tweets (Twitter),Received New Follower Alerts (Twitter),Received Wall Posts (Facebook),Received Comments (Facebook),Received Ad Comments (Facebook),Received Private Messages (Facebook),Received Comments (Instagram),Received Ad Comments (Instagram),Received Mentions (Instagram),Received Media Tags (Instagram),Received Comments (LinkedIn),Sent Direct Messages (Instagram),Received Direct Messages (Instagram),Received Comments (TikTok)
4/7/2022,Instagram,citizenconnectus,293,0,0,3,3,1,67,1,3,4.48%,3,0,,,0,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/2022,LinkedIn,CitizenConnectUS,36,0,0,3,3,0,17,1,1,5.88%,0,0,0,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
4/8/2022,Twitter,'@citizenconnect3,227,1,1,2,2,2,134,0,4,2.99%,2,0,0,1,,0,1,2,0,0,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
4/8/2022,Facebook,Citizenconnect.us,273,1,1,33,33,0,"2,750",1,16,0.58%,5,0,1,0,,10,,,,,,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2022,Instagram,citizenconnectus,294,1,1,2,2,0,60,6,6,10%,6,0,,,0,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2022,LinkedIn,CitizenConnectUS,36,0,0,2,2,0,34,0,2,5.88%,1,0,0,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
4/9/2022,Twitter,'@citizenconnect3,227,0,0,0,,3,45,1,0,0%,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
4/9/2022,Facebook,Citizenconnect.us,277,4,4,0,0,14,"10,513",6,385,3.66%,133,15,22,183,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,,,,,,,,,
4/9/2022,Instagram,citizenconnectus,296,2,2,0,0,0,"1,170",0,3,0.26%,3,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2022,LinkedIn,CitizenConnectUS,36,0,0,0,0,0,22,0,0,0%,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
4/10/2022,Twitter,'@citizenconnect3,230,3,3,0,,2,85,2,5,5.88%,0,0,0,2,,0,3,0,0,0,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
4/10/2022,Facebook,Citizenconnect.us,286,9,10,0,0,29,"29,052",31,708,2.44%,237,35,51,289,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,,,,,,,,,
4/10/2022,Instagram,citizenconnectus,297,1,1,0,0,0,"1,276",0,0,0%,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2022,LinkedIn,CitizenConnectUS,36,0,0,0,0,0,11,0,0,0%,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
4/11/2022,Twitter,'@citizenconnect3,231,1,1,5,5,2,284,6,9,3.17%,2,0,0,1,,0,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
4/11/2022,Facebook,Citizenconnect.us,307,20,22,6,5,215,"90,347",88,"2,763",3.06%,931,228,177,"1,031",,396,,,,,,5,,,,1,,,,,,,,,,,,,,,,,,1,,212,2,,,,,,,,
4/11/2022,Instagram,citizenconnectus,299,2,2,5,5,1,"4,646",1,7,0.15%,6,0,,,1,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2022,LinkedIn,CitizenConnectUS,36,1,1,5,5,0,35,4,1,2.86%,1,0,0,0,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
4/12/2022,Twitter,'@citizenconnect3,233,2,2,3,3,5,228,5,19,8.33%,6,0,3,0,,0,10,3,0,0,,,,,,,,,,,,,,,,,,,1,,3,,1,,,,,,,,,,,,
4/12/2022,Facebook,Citizenconnect.us,314,7,7,3,3,196,"45,668",37,"1,671",3.66%,527,214,125,597,,208,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,196,,,,,,,,,
4/12/2022,Instagram,citizenconnectus,302,3,4,3,3,0,"7,363",8,3,0.04%,3,0,,,0,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2022,LinkedIn,CitizenConnectUS,37,0,0,3,3,0,28,1,0,0%,0,0,0,0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
4/13/2022,Twitter,'@citizenconnect3,232,-1,0,2,2,5,386,36,7,1.81%,2,0,1,0,,0,4,2,0,0,,,,,,,,,,,,,,,,,,,1,,1,2,1,,,,,,,,,,,,
4/13/2022,Facebook,Citizenconnect.us,314,0,1,21,20,17,"8,178",25,123,1.50%,48,17,10,35,,13,,,,,,2,18,1,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,
4/13/2022,Instagram,citizenconnectus,304,2,2,2,2,0,72,2,10,13.89%,9,0,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2022,LinkedIn,CitizenConnectUS,37,0,0,2,2,0,11,0,0,0%,0,0,0,0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
